title,text,subject,date,fake
"BREAKING: STARBUCKS CEO To Step Down After Pledge To Hire 10,000 Refugees BACKFIRES","The arrogance of a CEO of a major company like Starbucks, that would put his radical political opinions above the health of the company and the stockholders is astounding. The idea that Howard Schultz believed he could say Starbucks would make hiring 10,000 refugees a priority, while so many Americans are out of work, and it wouldn t harm the Starbucks brand is beyond foolish Howard Schultz, the current CEO of Starbucks, will step down from his role at the giant coffee chain next month.The move comes after his vow to hire thousands refugees in response to President Donald Trump s first travel ban appeared to hurt customer sentiment and dent their sales.Trump supporters have called for a boycott of the chain since January 29, when Schultz vowed to hire 10,000 refugees over five years.Schultz in a letter to employees said the promise of the American Dream was  being called into question  and that  the civility and human rights we have all taken for granted for so long are under attack. He was also a public Clinton supporter and prominent democrat, and even considered as a running mate for the Democratic nominee at one point.Almost immediately consumer perception levels took a hit as measured by YouGov BrandIndex s Buzz score, falling by two-thirds between January 29 and February 13.At the time, analysts at Credit Suisse said the coffee giant s move had a negative impact on recent sales, and could continue to hurt them in the near future.Schultz, with an estimated net worth of $3.1billion, will remain at Starbucks as executive chairman and will focus on strengthening the company s high-end coffee shops.Schultz will be replaced as CEO by Kevin Johnson, Starbucks  chief operating officer, on April 3, 2017, The Seattle Times reported. Daily Mail ",politics,"Mar 19, 2017",1
"Iranian president defends nuclear deal, says Trump can not undermine it","BEIRUT (Reuters) - Iranian President Hassan Rouhani defended the nuclear deal with Western powers Saturday and said that U.S. President Donald Trump could not undermine it. Under the 2015 deal, Iran agreed to limit its disputed nuclear program in return for the easing of economic sanctions. However, Trump is expected to announce soon that he will decertify the deal, a senior administration official has said, in a step that potentially could cause the accord to unravel.  In the nuclear negotiations and agreement we reached issues and benefits that are not reversible. No one can turn that back, not Mr. Trump or anyone else,  Rouhani said at a ceremony at Tehran University marking the start of the university academic year, according to state media.   Even if 10 other Trumps are created in the world, these are not reversible.  Trump, who has called the pact an  embarrassment  and  the worst deal ever negotiated , has been weighing whether the deal serves U.S. security interests as he faces the Oct. 15 deadline for certifying that Iran is complying with its terms.     The prospect of Washington reneging on the deal has worried some of the U.S. allies that helped negotiate it, especially as the world grapples with another nuclear crisis, North Korea s nuclear and ballistic missile development. If Trump does not certify that Iran is in compliance, the U.S. Congress will have 60 days to decide whether to reimpose sanctions waived under the deal. U.N. inspectors have verified Iranian compliance with the terms. Rouhani said Saturday that if the United States violated the deal then it would hurt its own reputation in the international community.  If America carries out any violations today, the whole world will condemn America. They will not condemn Iran,  Rouhani said, according to state media.  Then they will say why did you trust America and sign an agreement with them?  Separately, former Iranian president Mohammad Khatami has been forbidden from attending  public political, cultural and promotional ceremonies , for a period of three months, two of his lawyers told the Iranian Labour News Agency (ILNA) on Saturday. Khatami has long been a lightning rod of criticism for hardliners who accuse him of fomenting unrest in the protests that followed the disputed election of president Mahmoud Ahmadinejad in 2009. Local media are forbidden from quoting Khatami in articles or publishing his image. The new restrictions were issued by Iranian security forces, Khatami s lawyers told ILNA, and there does not appear to be any judicial mechanism to dispute the restrictions. In the lead-up to the presidential election last May, Khatami posted a message online encouraging his supporters to vote for Rouhani. Rouhani made a reference to the new restrictions placed on Khatami during his speech Saturday but did not name him.  If anybody repeats that people should come to the ballot box, they should be punished?  he said, according to ILNA. Khatami s lawyers told ILNA that the restrictions began on the first day of the Iranian month of Mehr, which is Sept. 23.  ",worldnews,"October 7, 2017 ",0
Norway government to rule in minority after centrists abandon talks,"OSLO (Reuters) - Norway s Christian Democratic party withdrew from coalition talks with the government on Wednesday, ending Conservative Prime Minister Erna Solberg s hopes of broadening her minority right-wing cabinet into a center-right majority one. The move may make it more difficult for Solberg to secure backing for her fiscal spending plans and policy proposals, and could even jeopardize her cabinet s long-term survival. Solberg has ruled in a minority government since 2013 with the populist Progress Party. She had hoped to bring the two parties  other backers in parliament, the Christian Democrats and the Liberals, into her cabinet after the four parties combined won a renewed but smaller majority on Sept. 11. While Solberg had needed the support of just one of the two centrist parties previously to push through her policies, she now needs the backing of both in addition to that of her own Conservatives and the Progress Party. But the Christian Democrats, wary of supporting further tax cuts and the government s tough line on immigration, said it would stay out of government even though it preferred Solberg as prime minister over Labour leader Jonas Gahr Stoere. Solberg had previously rejected a proposal from the Liberals and the Christian Democrats to remove Progress from the government in favor of the centrists.  Our alternative for a government did not succeed, but we still wish for good, constructive cooperation,  party leader Knut Arild Hareide of the Christian Democrats told reporters after meeting the three other parties on Wednesday. The Liberals will continue to negotiate with the government, but their potential inclusion in the cabinet would not be sufficient to ensure a majority. The government is due to present its 2018 fiscal spending proposal on Oct. 12 and must negotiate a compromise in parliament by late November or early December. ",worldnews,"September 27, 2017 ",0
Abu Dhabi Crown Prince offers condolences to exiled son of slain Yemeni ex-leader in UAE,"DUBAI (Reuters) - The Crown Prince of Abu Dhabi offered his condolences to the son of slain former Yemen president Ali Abdullah Saleh at his residence in Abu Dhabi, according to his official twitter account.  The account tweeted a picture of Sheikh Mohammed bin Zayed al-Nahyan, Crown Prince of Abu Dhabi and Deputy Supreme Commander of the UAE Armed Forces visiting Ahmed Ali at his residence in the United Arab Emirates capital.  Ahmed Ali, a former commander of Yemen s elite Republican Guards, once served as Yemen s ambassador to the UAE before it joined ally Saudi Arabia to make war against the Houthis.  ",worldnews,"December 6, 2017 ",0
"Motorbike explosion in Syrian city kills child, monitors say","BEIRUT (Reuters) - A booby-trapped motorbike exploded in the northeastern Syrian city of Qamishli on Monday, killing a child and wounding six other people, the monitoring group Syrian Observatory for Human Rights reported. Syrian state TV said a motorbike had exploded and reported that four people were wounded but did not immediately mention deaths. Qamishli is in an area mostly under the control of Kurdish security forces. Bomb blasts, often claimed by Islamic State, have occurred in Qamishli and nearby Hasaka city, both under Kurdish control, but have been rare in the last year. Islamic State also reported the bombing via its online Amaq news agency, saying it had targeted a vehicle belonging to Kurdish security forces. It did not explicitly claim the attack. Kurdish internal security force the Asayish, in a statement, blamed a Syrian government-allied paramilitary group for carrying out the attack. The Kurdish YPG militia is spearheading a U.S.-backed offensive to drive Islamic State out of the jihadist group s remaining strongholds in eastern Syria, including its former de facto Syrian capital, Raqqa. The YPG and Syrian government forces have mostly stayed out of each other s way in the six-year-old Syrian conflict. ",worldnews,"September 18, 2017 ",0
WOMAN ARRESTED For Wearing T-Shirt Naming Muslim Extremist Who Fled Country After Failed Jihad Attempt [VIDEO],This is a SHOCKING example of a government putting the rights of violent extreme Muslims before their own citizens: ,politics,"Feb 29, 2016",1
NFL opposes U.S. Republican tax plan on stadium funding,"(Reuters) - The National Football League said on Tuesday it opposes a tax bill proposed by U.S. House of Representatives Republicans that could force teams to put up more of their own money to fund stadium construction. Under the legislation unveiled last week, local governments could no longer fund the building or renovation of professional sports stadiums by issuing tax-exempt, public-purpose bonds, the sort of bonds typically used to fund schools, libraries and public transit. According to the NFL, building new stadiums enhances economic development in cities that are home to the venues and federal tax breaks should be available. “You can look around the country and see the economic development that’s generated from some of these stadiums,” NFL spokesman Joe Lockhart told a conference call. “These sorts of infrastructure projects have a long history and the benefits of them are obvious in many of our communities around the country, so we will continue to make our opposition known on that.” President Donald Trump has called for an end to the subsidy, at least for the NFL, after some of its players angered the Republican president by kneeling during the national anthem to protest racial bias in the criminal justice system. His Democratic predecessor, Barack Obama, also proposed ending the tax break for stadiums in 2015. A report last year by the Brookings Institution, the Washington-based social sciences research group, found that of the 45 major-league stadiums built or overhauled since 2000, 36 were at least partly funded by tax-exempt municipal bonds. The NFL’s Oakland Raiders are expected to begin playing in Las Vegas in 2020 and construction on a new stadium is already underway. Lockhart refused to what, if any, impact the bill could have on the viability of the new stadium. “That is a hypothetical at this point and we’d have to see how the final bill comes out,” he said. “What gets proposed out of the writing committee from the party in control very often is not what is eventually signed into law, so we’ll have to see where that goes.”             ",politicsNews,"November 7, 2017 ",0
RARE BEHIND THE SCENES LOOK: President Trump Visits Netanyahu Family…“I’m a Big League fan of both of you.” [Video],"POTUS AND FLOTUS visited the Israeli PM residence and got a very warm welcome! The video below is a rare behind the scenes look at the visit. The Netanyahu family greeted the First couple and then enjoyed a visit with the family including the son. You can hear the Netanyahu s son when he meets President Trump. He says,  I m a Big League fan of both of you.  Melania replies that Mrs. Netanyahu is  fantastic . PM Netanyahu and Mrs Sara Netanyahu welcome @POTUS Donald Trump and @FLOTUS Melania Trump to the Prime Minister's Residence in Jerusalem. pic.twitter.com/1HIOUmCJvd  PM of Israel (@IsraeliPM) May 22, 2017 Lots of mutual respect and admiration was visible between these two families. Wow1 What a difference between Obama and Trump! ",politics,"May 22, 2017",1
Kenyan police fire teargas to break slum protests after four murdered,"NAIROBI (Reuters) - Kenyan police fired teargas to disperse a crowd that was protesting on Sunday against the overnight murder of four people in a slum in the capital Nairobi. Parts of the city have been gripped by tension since Friday when at least five people were killed in violence involving the police and opposition supporters who were accompanying their leader Raila Odinga after a trip abroad.  Japheth Koome, the police commander in the city, said investigations had started after four bodies were found in the Mathare Area Four slum on Sunday morning.   We went there and found those bodies with injuries,  he told a news conference, describing the murders as a criminal act rather than ethnic-driven violence. The violence took place a day before the Supreme Court rules on two cases seeking to nullify the re-election of President Uhuru Kenyatta in a repeat election held last month. Odinga, who successfully petitioned against Kenyatta s initial victory in the Aug. 8 vote and subsequently boycotted the repeat poll, visited the scene of the murders on Sunday and accused the government of being behind the killings.  Those who are doing these acts are the ones who already lost and want to hold onto power by force but we will remove them using the power of the people,  he told a crowd of his supporters. Police fired teargas and used water cannons to disperse protesters for the better part of the morning until calm was restored in the area in the afternoon. The broadcast industry regulator, Communications Authority of Kenya, said it had banned live broadcasts of political rallies, after all the main TV stations showed hours of live footage of the chaos that greeted Odinga s return. A source at the authority told Reuters on Sunday the ban was put in place to help manage the tension in the country. ",worldnews,"November 19, 2017 ",0
Saudi king says kingdom has made progress in tackling terrorism,"MECCA, Saudi Arabia (Reuters) - Saudi King Salman, receiving dignitaries attending the annual Muslim haj pilgrimage, said on Saturday the kingdom had made progress in eradicating terrorism aimed at attacking its holy sites, state news agency SPA reported. Saudi Arabia, which stakes its reputation on its guardianship of Islam s holiest sites and organizing the haj, has been hit by bombings in recent years and uncovered plots to carry out attacks in Mecca.  The limbs of terrorism have sought to harm the holy cities, paying no attention to their sanctity,  SPA quoted King Salman as telling foreign dignitaries at a reception he held in Mecca, where more than 2 million pilgrims are performing haj.   But the kingdom, by the grace of God and in cooperation with its sisters and friends, has made big successes in eradicating terrorism and has worked decisively and with determination to dry its sources,  he added, without elaborating. Salman also said Saudi Arabia had devoted all its material and human resources to ensure the safety of pilgrims who come from all over the world to perform the five-day ritual, a religious duty to be undertaken once in a lifetime by every able-bodied Muslim who can afford the journey.  We are determined, with God s permission, to continue to provide the highest level of services for the two holy mosques ... to ensure the safety of those who seek the sacred house of God,  he said. The pilgrimage has frequently been hit by stampedes and fires. In the most recent incident, hundreds of pilgrims were killed in a crush two years ago. ",worldnews,"September 2, 2017 ",0
